    5.00 112.180  64.082  12.686 129.099 103.727  33.989  92.005   0.303   0.362   3.232  -0.071
   10.00 120.670  64.080  24.730 153.642 104.182  43.749 116.971   0.363   0.338   3.210  -0.139
   15.00 129.590  65.464  36.424 178.155 105.307  51.741 136.969   0.399   0.324   3.190  -0.201
   20.00 138.950  67.946  47.720 202.574 107.135  58.976 154.995   0.424   0.314   3.171  -0.258
   25.00 148.530  71.077  58.410 226.412 109.592  65.707 171.789   0.442   0.307   3.154  -0.306
   30.00 158.340  74.662  68.224 249.307 112.858  72.017 187.608   0.455   0.303   3.140  -0.345
   35.00 168.300  78.796  76.614 270.456 117.228  77.916 202.499   0.463   0.299   3.127  -0.371
   40.00 178.360  83.757  82.661 288.575 123.253  83.317 216.275   0.467   0.298   3.115  -0.382
   45.00 188.070  89.705  84.714 301.027 131.598  87.674 227.648   0.466   0.298   3.106  -0.375
   50.00 197.500  96.476  81.321 305.930 143.287  90.099 234.619   0.456   0.302   3.098  -0.349
