    5.00 106.990  66.764   4.191 112.578 104.195  25.655  69.347   0.240   0.389   3.261   0.013
   10.00 111.150  68.028   8.255 122.155 105.646  30.789  83.330   0.277   0.373   3.266   0.025
   15.00 115.230  69.214  11.949 131.160 107.262  35.018  94.562   0.304   0.362   3.270   0.035
   20.00 118.200  70.366  15.458 138.812 107.896  38.735 104.181   0.328   0.352   3.275   0.044
   25.00 123.280  71.561  18.866 148.435 110.703  42.141 113.083   0.342   0.347   3.279   0.052
   30.00 127.210  72.631  22.099 156.675 112.478  45.176 120.888   0.355   0.341   3.283   0.059
   35.00 131.220  73.769  25.138 164.735 114.458  47.952 128.017   0.365   0.337   3.287   0.064
   40.00 135.320  74.954  28.115 172.805 116.574  50.599 134.810   0.374   0.334   3.291   0.068
   45.00 140.250  76.276  31.093 181.711 119.524  53.220 141.609   0.379   0.332   3.294   0.070
   50.00 144.470  77.637  34.082 189.910 121.745  55.795 148.200   0.386   0.329   3.297   0.071
