    5.00 108.190  63.772   7.652 118.396 103.092  28.768  78.146   0.266   0.378   3.228   0.005
   10.00 114.780  61.286  15.307 135.190 104.577  35.366  95.847   0.308   0.360   3.196   0.008
   15.00 120.690  57.336  25.983 155.331 103.364  41.733 112.203   0.346   0.345   3.167   0.009
   20.00 126.650  56.010  34.898 173.181 103.386  46.331 123.877   0.366   0.337   3.138   0.004
   25.00 132.540  55.326  44.192 191.462 103.079  50.567 134.584   0.382   0.331   3.110  -0.005
   30.00 138.880  55.282  53.963 210.833 102.907  54.751 145.175   0.394   0.326   3.081  -0.017
   35.00 144.850  56.013  64.172 230.415 102.071  59.146 156.180   0.408   0.320   3.055  -0.031
   40.00 152.500  57.677  74.888 252.353 102.576  64.039 168.526   0.420   0.316   3.028  -0.047
   45.00 159.910  60.377  86.304 274.980 102.372  69.685 182.535   0.436   0.310   3.003  -0.063
   50.00 167.920  64.577  98.353 299.054 102.348  76.474 199.173   0.455   0.302   2.979  -0.078
