    5.00 106.050  64.950   4.949 112.648 102.750  26.027  70.514   0.245   0.387   3.259   0.004
   10.00 109.100  64.294   9.694 122.026 102.639  31.109  84.328   0.285   0.370   3.262   0.007
   15.00 111.840  63.453  14.152 130.712 102.408  35.122  94.890   0.314   0.358   3.264   0.009
   20.00 114.550  62.480  18.438 139.136 102.259  38.408 103.375   0.335   0.349   3.267   0.012
   25.00 117.260  61.457  22.428 147.159 102.304  41.040 110.115   0.350   0.343   3.270   0.015
   30.00 119.930  60.247  26.260 154.947 102.427  43.174 115.573   0.360   0.339   3.272   0.017
   35.00 122.640  58.917  29.874 162.471 102.722  44.860 119.920   0.366   0.337   3.275   0.019
   40.00 125.330  57.580  33.358 169.810 103.094  46.255 123.550   0.369   0.336   3.278   0.021
   45.00 128.020  56.204  36.990 177.339 103.360  47.526 126.873   0.371   0.335   3.281   0.022
   50.00 130.640  54.802  40.404 184.513 103.705  48.504 129.484   0.371   0.335   3.283   0.023
