    5.00 106.210  63.248   5.868 114.029 102.293  26.587  72.224   0.250   0.384   3.234   0.026
   10.00 114.150  59.366  13.212 131.762 105.337  32.834  89.451   0.288   0.369   3.208   0.050
   15.00 118.730  56.497  19.440 144.648 105.767  36.865 100.077   0.310   0.359   3.185   0.070
   20.00 123.480  53.880  25.787 157.864 106.289  40.085 108.474   0.325   0.354   3.161   0.086
   25.00 127.580  51.653  32.253 170.589 106.083  42.764 115.392   0.335   0.349   3.138   0.099
   30.00 133.790  49.840  39.125 185.959 107.710  45.236 121.963   0.338   0.348   3.115   0.109
   35.00 139.470  48.331  46.319 201.229 108.590  47.516 128.011   0.341   0.347   3.093   0.116
   40.00 146.880  47.113  53.899 218.743 110.945  49.719 134.034   0.339   0.348   3.071   0.121
   45.00 152.250  46.300  61.862 234.735 111.012  52.002 140.060   0.342   0.347   3.049   0.119
   50.00 158.350  45.911  70.177 251.920 111.566  54.449 146.543   0.344   0.346   3.028   0.115
