    5.00 111.160  64.626  12.317 127.582 102.949  33.824  91.471   0.304   0.362   3.233  -0.092
   10.00 118.620  65.441  23.532 149.994 102.929  43.447 115.996   0.366   0.337   3.212  -0.179
   15.00 126.360  67.426  33.813 171.445 103.818  51.112 135.074   0.404   0.322   3.193  -0.259
   20.00 134.260  69.926  42.748 191.260 105.764  57.402 150.711   0.428   0.313   3.175  -0.330
   25.00 142.310  72.483  49.672 208.534 109.191  62.296 163.086   0.438   0.309   3.160  -0.390
   30.00 150.510  75.280  53.828 222.284 114.629  65.814 172.322   0.437   0.309   3.147  -0.437
   35.00 158.450  78.506  54.763 231.470 121.944  67.956 178.365   0.429   0.312   3.135  -0.470
   40.00 165.550  82.736  51.784 234.592 131.024  68.563 180.725   0.414   0.318   3.126  -0.488
   45.00 172.900  88.256  45.491 233.556 142.574  67.644 179.472   0.391   0.327   3.118  -0.493
   50.00 179.890  93.379  37.162 229.443 155.119  64.534 172.765   0.359   0.340   3.111  -0.484
