    5.00 109.010  65.314  10.069 122.435 102.297  31.830  86.120   0.292   0.367   3.241  -0.071
   10.00 114.120  66.569  18.459 138.730 101.813  39.958 107.004   0.350   0.343   3.226  -0.137
   15.00 119.160  68.347  25.090 152.614 102.435  45.747 121.508   0.384   0.330   3.213  -0.197
   20.00 124.050  69.884  29.699 163.646 104.249  49.576 131.145   0.400   0.324   3.201  -0.249
   25.00 128.660  71.150  31.677 170.899 107.545  51.422 136.047   0.400   0.324   3.191  -0.294
   30.00 132.930  72.575  31.156 174.470 112.158  51.694 137.188   0.389   0.328   3.183  -0.331
   35.00 137.270  74.659  29.764 176.952 117.423  51.633 137.509   0.376   0.333   3.176  -0.361
   40.00 141.140  76.821  26.485 176.449 123.478  50.165 134.337   0.355   0.341   3.170  -0.384
   45.00 144.840  79.215  21.957 174.118 130.204  47.542 128.171   0.328   0.352   3.165  -0.402
   50.00 148.280  81.951  16.863 170.762 137.037  44.065 119.566   0.297   0.365   3.160  -0.413
